pseudotime_center,median,lo,hi
0.1767857142857143,0.9298979328279138,0.8883971110952928,0.9518902871190168
0.1785714285714285,0.9263789495100933,0.8811191618125721,0.9543258833459948
0.275,0.9324374778325532,0.8985764150710585,0.9561878254017024
0.2767857142857143,0.9279311321316576,0.8823424515119928,0.9570668360025126
0.5303571428571429,0.9514208375128612,0.9334878724304996,0.969353802595223
0.6303571428571428,0.9411636571494526,0.8570744805891477,0.9802684217669486
0.8839285714285714,0.9301340859493517,0.8156635220411288,0.9832317650356048
0.8928571428571428,0.9363056972169946,0.8125245180087765,0.980290616228952
0.975,0.9268499518778148,0.8434131169821358,0.9752816583370224
0.9839285714285716,0.9392180392834362,0.8086868936381982,0.9916225541288606
1.2375,0.9612354823947252,0.8677317367839307,0.990835345891096
1.25,0.9586784041756315,0.8911572560738314,0.9875673611834418
1.3250000000000002,0.959619235583622,0.8899748214123755,0.9937777823843382
1.3375,0.9646919316091436,0.8693473137530822,0.9942876967424752
1.5910714285714287,0.9627901353697048,0.8835946724626719,0.988494345279034
1.6071428571428572,0.9657979382294688,0.906830899827541,0.9932444502059984
1.6750000000000005,0.9437676031854212,0.9437676031854212,0.9437676031854212
1.6910714285714288,0.9632907887918194,0.8980484638372919,0.9889504983292734
1.9446428571428571,0.9677121589820696,0.9024449534854196,0.990510867401882
1.9642857142857144,0.9682195510364782,0.9079858406552124,0.992088431478792
2.0250000000000004,0.974182184577112,0.907298954373738,0.996223619616564
2.044642857142857,0.9685394078263786,0.9143799190251268,0.9926194811536706
2.2982142857142858,0.9773715617326674,0.9347702092919374,0.9935252703421652
2.321428571428571,0.9788732046312384,0.9168876490885988,0.9938388351145968
2.375,0.9761318874831972,0.9279814704533792,0.9925806336687568
2.398214285714286,0.9778929476057148,0.9229242525376412,0.9940600221328004
2.6517857142857144,0.9680190700731676,0.9248629193409882,0.9922709734471264
2.678571428571429,0.9707518836642726,0.912750079413476,0.9899207339751876
2.7250000000000005,0.9661494138804708,0.9376634140359292,0.9924241348246036
2.7517857142857145,0.968738734333746,0.9254186345345328,0.9891891272198368
3.005357142857143,0.9682808308617644,0.9271705739067896,0.9916304413685
3.0357142857142856,0.9686324246572888,0.912668002798882,0.9937412442320224
3.075,0.9712089127508056,0.91612978755905,0.9939136253391346
3.105357142857143,0.972259355350666,0.9105077206360936,0.994839305798391
3.3589285714285717,0.9634740819011776,0.9023634184370026,0.9918181160377664
3.3928571428571432,0.9530112554879024,0.8757915072962367,0.9918698378500916
3.4250000000000007,0.9484740580386496,0.882980584316221,0.9808420863390672
3.458928571428572,0.9512557536357804,0.864811536856634,0.986798219837544
4.066071428571429,0.8545151569635002,0.7487789856580277,0.937054737898518
4.107142857142858,0.8701173725528631,0.7647538523188498,0.9533406715228838
4.125,0.8730688562463566,0.7381309982282365,0.948362533274366
4.166071428571429,0.8666047499299884,0.7469571462343815,0.9400930440072026
4.419642857142858,0.8744323334834294,0.7890343137010485,0.9367354774136664
4.464285714285714,0.8748163726965734,0.7813558400076274,0.9514241159217864
4.475,0.8762164243757689,0.7707130458577474,0.9540338458046398
4.519642857142857,0.8851639812664664,0.7921778380377406,0.9390862277153434
4.773214285714285,0.9447041600095268,0.8561206965757582,0.9801323198837728
4.821428571428571,0.9431554407690336,0.8767839180065896,0.9832335306846128
4.825,0.944709753599337,0.8612336309819467,0.9833453989310688
4.873214285714285,0.9483806158045882,0.8796092478803067,0.9886983006865792
5.126785714285715,0.967332305770302,0.9214865827458492,0.9910485430608948
5.175000000000001,0.965179725526034,0.9005514445005439,0.9927991156059216
5.178571428571429,0.9618437284352436,0.9021959715226138,0.9943601107687304
5.226785714285715,0.966619706941105,0.8918409032762136,0.9908071786502078
5.525,0.9500003620788532,0.9500003620788532,0.9500003620788532
5.5357142857142865,0.9267148093598716,0.8946374365210987,0.9800149585204004
5.833928571428572,0.9148381216274476,0.9148381216274476,0.9148381216274476
5.875,0.9088596388314524,0.8644006297152838,0.9593844856977184
5.933928571428572,0.9127620431820312,0.7584987247178376,0.9742169160284648
6.25,0.8990720285952136,0.8405175822797971,0.9465182324637964
6.2875,0.9775865235743894,0.9550076013903328,0.9784702185005902
6.5410714285714295,0.9052254657621488,0.7867498926567615,0.926069200054045
6.641071428571429,0.8805950460957818,0.8666932461157677,0.8944968460757958
6.894642857142857,0.9423640624241189,0.9293919798219612,0.948738258837114
6.925000000000001,0.9063756900069596,0.8367712057056771,0.9648589230154622
6.964285714285714,0.92005708636251,0.8437600261759147,0.9785144169122774
6.994642857142857,0.9065691227796158,0.8082497455471892,0.9746817846448276
7.248214285714287,0.9012519925822636,0.8467740910278269,0.9681012574101152
7.275,0.905508045607976,0.8401219428240067,0.9609588109647096
7.321428571428571,0.9116519203559872,0.8403093799936336,0.9701333587305764
7.3482142857142865,0.9042436672198892,0.8136776126433967,0.9728988062394208
7.955357142857144,0.8800586610384482,0.7854913047260121,0.9090301420268722
8.662500000000001,0.9639310511597238,0.9067080866477254,0.9815067884578348
8.675,0.9729863360020004,0.9728062682823224,0.973166403721678
8.75,0.9613886780803336,0.9000381788342469,0.9927193598113776
8.7625,0.9597079189490256,0.8976043655154609,0.9930223849859042
9.01607142857143,0.9674127384738194,0.8871438314098775,0.9883730151206884
9.025,0.9624391958431184,0.9263664281429153,0.99066084704152
9.107142857142858,0.9577768126922016,0.9043199777638864,0.9866460134019216
9.116071428571429,0.9573517284337388,0.8698546099214723,0.9916861678148196
9.369642857142855,0.9383644155468204,0.8885474842158501,0.9784716062242048
9.375,0.9311903082864506,0.8483721902666138,0.9823099387049224
9.464285714285715,0.9324333996833258,0.8827252661236317,0.9690384663522984
9.469642857142858,0.9320805987564068,0.8712674486488765,0.9670043365874356
9.723214285714286,0.959248790251274,0.9303882357300116,0.9802953943104658
9.725,0.9592333231785476,0.921777108022186,0.9809144954004596
9.821428571428571,0.961757150209403,0.9250601769632358,0.9832933514673518
9.823214285714286,0.9583019311556537,0.9109068986364964,0.9813091716960428
