gene,stage_label_candidate,n_cells,mean_expression,median_expression,q1_expression,q3_expression
FOS,Stage_a,700,1.63330523,1.78130174,0.86371131,2.52430737
FOS,Stage_b,1751,0.26027306,0.00000000,0.00000000,0.00000000
FOS,Stage_c,3333,1.73034644,1.91086709,0.93709439,2.57154703
JUN,Stage_a,700,1.44014878,1.57734835,0.83569701,2.12725544
JUN,Stage_b,1751,0.31875184,0.00000000,0.00000000,0.00000000
JUN,Stage_c,3333,1.71914066,1.89878643,1.21473098,2.37649441
HOPX,Stage_a,700,0.11202133,0.00000000,0.00000000,0.00000000
HOPX,Stage_b,1751,1.30587264,1.50876129,0.00000000,2.08168399
HOPX,Stage_c,3333,0.87160367,0.92872369,0.00000000,1.40025520
DEFB119,Stage_a,700,2.40253044,2.56567919,1.79693794,3.13748592
DEFB119,Stage_b,1751,3.51225813,3.58069491,3.20524895,3.89600909
DEFB119,Stage_c,3333,2.97524709,3.06910563,2.71319866,3.39007688
