group,major_cell_type,stage_label_candidate,n_cells,mean_btb_score,median_btb_score,q1_btb_score,q3_btb_score
Ctrl,ST_a,Stage_a,39,0.11676923,0.10900000,0.05550000,0.16600000
Ctrl,ST_b,Stage_b,569,0.21517047,0.21600000,0.17100000,0.25700000
Ctrl,ST_c,Stage_c,8,0.13875000,0.13100000,0.12175000,0.14925000
AZFc_Del,ST_a,Stage_a,194,0.18264433,0.18250000,0.13250000,0.23175000
AZFc_Del,ST_b,Stage_b,4416,0.22354370,0.22400000,0.17900000,0.26900000
AZFc_Del,ST_c,Stage_c,654,0.12898318,0.12900000,0.08400000,0.17100000
iNOA_B,ST_a,Stage_a,24,0.15179167,0.15700000,0.10875000,0.19725000
iNOA_B,ST_b,Stage_b,316,0.19100949,0.19200000,0.14675000,0.23825000
iNOA_B,ST_c,Stage_c,21,0.10057143,0.09100000,0.05300000,0.13800000
iNOA_S,ST_a,Stage_a,442,0.20478959,0.20300000,0.15750000,0.24975000
iNOA_S,ST_b,Stage_b,3375,0.21185807,0.21400000,0.17300000,0.25300000
iNOA_S,ST_c,Stage_c,1050,0.09389143,0.08700000,0.05100000,0.13000000
KS,ST_a,Stage_a,1,0.21600000,0.21600000,0.21600000,0.21600000
KS,ST_b,Stage_b,287,0.20646341,0.20100000,0.16750000,0.25000000
KS,ST_c,Stage_c,18,0.07566667,0.06550000,0.04300000,0.10825000
