sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,115,-0.30731948688030486,-0.1172746446161463,-1.496518638822749,0.5774138873713912,-1.68061781648579,2.5779380277813857
LZ004,Control,0,,,,,,
LZ007,Control,468,0.0013213400583587688,0.2393309121419646,-1.496518638822749,1.031612543403858,-1.68061781648579,4.611122704519162
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,607,0.19319819170455935,0.15407487508776,-0.2249657599626272,0.6048994887550695,-1.68061781648579,2.78337444833987
LZ014,Control,92,-0.5664926440570169,-0.5136389361514424,-1.231651124649847,-0.1420576819651654,-1.68061781648579,4.327469803118224
LZ015,Control,96,-0.316985679869779,-0.4004942552350851,-0.6662180132117863,0.18707487022729136,-1.68061781648579,2.8479303476977726
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,5425,0.6007315764521398,0.5097657479267766,-0.2733901777737155,1.3095727498369698,-1.68061781648579,6.144225418162851
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,7593,0.5544567001144597,0.6191220660360188,0.0313587326168672,1.1278203984440387,-1.68061781648579,5.122983464134195
LZ018,iNOA,6728,0.7421968799782128,0.8048760712993889,0.2762379963580695,1.3006248688963808,-1.68061781648579,5.120172334073089
LZ019,iNOA,6875,0.4032907179320456,0.4889237676405705,-0.1172746446161466,0.977168906580207,-1.68061781648579,4.816712492439796
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,2404,0.942883796909629,1.096452344141198,0.5065418163862839,1.5424914914415986,-1.68061781648579,5.204232024061761
LZ007,KS,0,,,,,,
LZ010,KS,2731,0.07266727501403657,-0.0408665822995862,-0.59316411528871,0.5579450214521318,-1.68061781648579,5.261077350344774
LZ012,KS,2572,0.320766483406181,0.29367451293699953,-0.3878056768598422,0.8647176619728721,-1.68061781648579,5.851592545990927
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
