gene,ECs,LCs,Lym,Myeloid,SPCs,SPGs,SSCs,STs,Spermatids
TDRD1,0.012,0.028749999999999998,0.125,0.015,0.40228571428571425,0.382,0.7955,0.01,0.10936363636363637
ELAVL2,0.021,0.031,0.146,0.015166666666666667,0.06999999999999999,0.532,0.996,0.01125,0.17781818181818182
SOX4,0.215,0.21425,0.172,0.22466666666666665,0.024999999999999998,0.449,0.874,0.6074999999999999,0.05818181818181818
HMGN5,0.09,0.17625000000000002,0.035,0.2325,0.015857142857142858,0.024,0.023,0.8875,0.012454545454545453
DEFB119,0.078,0.12775,0.05,0.19433333333333333,0.038,0.038,0.0385,0.9339999999999999,0.05609090909090909
CITED1,0.04,0.112,0.021,0.17816666666666667,0.024857142857142855,0.023,0.049499999999999995,0.8029999999999999,0.022636363636363635
DCN,0.124,0.72075,0.073,0.2901666666666667,0.006999999999999999,0.008,0.01,0.03475,0.005909090909090909
C7,0.099,0.703,0.036,0.09849999999999999,0.0032857142857142855,0.002,0.006,0.1335,0.003
 PTGDS,0.179,0.7484999999999999,0.123,0.44766666666666666,0.034428571428571426,0.044,0.028,0.30474999999999997,0.03890909090909091
BX119904.2,0.014,0.004999999999999999,0.018,0.02366666666666667,0.08771428571428572,0.036,0.056499999999999995,0.01925,0.457
SPANXN3,0.013,0.0032500000000000003,0.01,0.026333333333333334,0.07857142857142858,0.019,0.028999999999999998,0.028749999999999998,0.48863636363636365
LINC00919,0.023,0.00525,0.011,0.03266666666666667,0.07128571428571429,0.045,0.0485,0.03575,0.6084545454545455
HIST1H2AA,0.039,0.069,0.144,0.036833333333333336,0.5581428571428572,0.513,0.324,0.04175,0.13918181818181818
HIST1H2BA,0.014,0.0235,0.084,0.010333333333333333,0.492,0.312,0.16449999999999998,0.0125,0.09081818181818181
AC084033.3,0.038,0.051000000000000004,0.08,0.034333333333333334,0.6611428571428571,0.121,0.085,0.066,0.09263636363636363
RAD51AP2,0.006,0.012,0.079,0.009333333333333334,0.3031428571428571,0.034,0.017,0.0075,0.05072727272727273
ZCWPW1,0.014,0.033,0.148,0.015166666666666667,0.40685714285714286,0.367,0.369,0.00825,0.06054545454545455
SYCP3,0.018,0.022000000000000002,0.156,0.016333333333333335,0.654,0.525,0.1615,0.0205,0.08499999999999999
 HLA-DRA,0.409,0.042249999999999996,0.245,0.30516666666666664,0.009428571428571429,0.008,0.007,0.027999999999999997,0.012363636363636365
 CD74,0.589,0.10875,0.53,0.325,0.008,0.011,0.026500000000000003,0.05725,0.009818181818181818
CCL4L2,0.067,0.0415,0.364,0.2683333333333333,0.0027142857142857142,0.003,0.0055,0.01625,0.002
 CLU,0.428,0.27,0.072,0.3396666666666666,0.18485714285714286,0.06,0.07,0.93625,0.19618181818181818
SERPINA5,0.214,0.2515,0.035,0.2575,0.02642857142857143,0.031,0.023,0.9237500000000001,0.07881818181818182
  DEFB119,0.078,0.12775,0.05,0.19433333333333333,0.038,0.038,0.0385,0.9339999999999999,0.05609090909090909
TKTL1,0.02,0.02475,0.194,0.026333333333333334,0.25828571428571434,1.0,0.6425000000000001,0.01925,0.13
GAGE2A,0.016,0.032,0.196,0.016999999999999998,0.26142857142857145,1.0,0.6825,0.009500000000000001,0.07072727272727274
HIST1H1A,0.023,0.04575,0.181,0.04133333333333333,0.18557142857142855,1.0,0.361,0.034,0.04445454545454546
EQTN,0.005,0.00175,0.002,0.011499999999999998,0.052,0.017,0.014499999999999999,0.01125,0.4512727272727273
LINC01760,0.01,0.003,0.007,0.018666666666666665,0.06971428571428571,0.034,0.029,0.0265,0.619
LINC02032,0.005,0.002,0.005,0.0095,0.03614285714285714,0.02,0.0145,0.014499999999999999,0.3930909090909091
TAGLN,0.115,0.10625,0.048,0.33083333333333337,0.006857142857142858,0.008,0.008,0.021,0.006272727272727274
ACTA2,0.106,0.19025,0.058,0.4263333333333333,0.009,0.011,0.015,0.02875,0.010818181818181817
ADIRF,0.327,0.24650000000000002,0.086,0.23716666666666666,0.005285714285714287,0.004,0.006,0.027,0.008090909090909091
HMGA1,0.026,0.02875,0.178,0.035666666666666666,0.15171428571428572,0.779,0.8765000000000001,0.013250000000000001,0.06981818181818182
TUBA1B,0.448,0.262,0.238,0.3873333333333333,0.24385714285714286,0.604,0.535,0.45599999999999996,0.24363636363636365
CCNI,0.563,0.5549999999999999,0.322,0.6276666666666667,0.16142857142857145,0.452,0.9079999999999999,0.48650000000000004,0.09618181818181819
CCDC110,0.007,0.00575,0.022,0.018333333333333333,0.4595714285714286,0.025,0.0425,0.020749999999999998,0.3756363636363636
GOLGA6L2,0.005,0.00175,0.004,0.008333333333333333,0.13199999999999998,0.009,0.0135,0.006750000000000001,0.32172727272727275
LINC00643,0.004,0.002,0.004,0.010166666666666668,0.18399999999999997,0.016,0.015,0.01125,0.41463636363636364
PTGDS,0.179,0.7484999999999999,0.123,0.44766666666666666,0.034428571428571426,0.044,0.028,0.30474999999999997,0.03890909090909091
PEMT,0.08,0.313,0.047,0.38316666666666666,0.05228571428571428,0.115,0.0605,0.14175,0.011636363636363637
LAMA2,0.045,0.51575,0.015,0.3453333333333333,0.010571428571428574,0.005,0.040999999999999995,0.1655,0.016636363636363637
PRM1,0.089,0.02475,0.057,0.1135,0.31457142857142856,0.277,0.265,0.14250000000000002,0.7151818181818181
TNP1,0.039,0.0072499999999999995,0.022,0.0595,0.11071428571428572,0.092,0.0865,0.0565,0.6213636363636363
PRM2,0.078,0.02025,0.045,0.10066666666666667,0.2602857142857143,0.224,0.22150000000000003,0.11699999999999999,0.6957272727272727
HSPB6,0.056,0.37575000000000003,0.028,0.21266666666666664,0.007714285714285714,0.004,0.0025,0.005,0.009090909090909092
CFD,0.072,0.5695,0.045,0.10483333333333333,0.003999999999999999,0.049,0.026500000000000003,0.00875,0.0041818181818181815
IGFBP6,0.149,0.5135000000000001,0.025,0.24150000000000002,0.003,0.006,0.023,0.01,0.004909090909090909
AL133499.1,0.01,0.00425,0.01,0.016999999999999998,0.4337142857142857,0.038,0.032,0.02375,0.2509090909090909
 CCDC110,0.007,0.00575,0.022,0.018333333333333333,0.4595714285714286,0.025,0.0425,0.020749999999999998,0.3756363636363636
AC010980.1,0.006,0.0065,0.006,0.011333333333333334,0.5005714285714286,0.04,0.0305,0.02675,0.3129090909090909
GNG11,1.0,0.14275,0.031,0.13233333333333333,0.002285714285714286,0.012,0.0235,0.019999999999999997,0.0032727272727272726
SPARCL1,1.0,0.52,0.045,0.507,0.007857142857142858,0.006,0.009,0.0755,0.00818181818181818
A2M,1.0,0.23925000000000002,0.107,0.4945,0.005999999999999999,0.009,0.1135,0.13425,0.036000000000000004
LINC01921,0.016,0.005,0.013,0.026833333333333334,0.08828571428571429,0.07,0.05,0.048,0.4619090909090909
 PRM2,0.078,0.02025,0.045,0.10066666666666667,0.2602857142857143,0.224,0.22150000000000003,0.11699999999999999,0.6957272727272727
 PRM1,0.089,0.02475,0.057,0.1135,0.31457142857142856,0.277,0.265,0.14250000000000002,0.7151818181818181
 LINC01921,0.016,0.005,0.013,0.026833333333333334,0.08828571428571429,0.07,0.05,0.048,0.4619090909090909
  PRM1,0.089,0.02475,0.057,0.1135,0.31457142857142856,0.277,0.265,0.14250000000000002,0.7151818181818181
 TNP1,0.039,0.0072499999999999995,0.022,0.0595,0.11071428571428572,0.092,0.0865,0.0565,0.6213636363636363
LRWD1,0.015,0.0145,0.021,0.025333333333333333,0.4374285714285714,0.101,0.068,0.01925,0.36972727272727274
SPACA1,0.009,0.00275,0.009,0.020833333333333332,0.1432857142857143,0.029,0.0335,0.019250000000000003,0.5069090909090909
BOD1L2,0.029,0.006,0.022,0.0545,0.41171428571428575,0.076,0.060500000000000005,0.0425,0.7126363636363636
TP53TG5,0.004,0.0005,0.001,0.008,0.013142857142857142,0.01,0.0095,0.00825,0.37827272727272726
C1orf100,0.01,0.0015,0.005,0.017166666666666667,0.031285714285714285,0.024,0.018500000000000003,0.0165,0.5386363636363636
CCDC168,0.007,0.0015,0.005,0.011499999999999998,0.023285714285714288,0.012,0.012,0.01,0.3937272727272727
TEX101,0.012,0.01225,0.119,0.015666666666666666,0.49628571428571433,0.2,0.0645,0.02275,0.0630909090909091
SYCP1,0.011,0.0175,0.105,0.015333333333333332,0.5501428571428572,0.052,0.1015,0.017249999999999998,0.16045454545454543
LY6K,0.011,0.00775,0.101,0.012833333333333334,0.34485714285714286,0.212,0.0885,0.017499999999999998,0.040363636363636365
CETN3,0.054,0.07425,0.075,0.0605,0.5415714285714286,0.217,0.111,0.101,0.05818181818181818
C15orf48,0.006,0.0075,0.061,0.022500000000000003,0.5525714285714286,0.153,0.054,0.0325,0.14727272727272728
RNFT1,0.003,0.008,0.053,0.019,0.455,0.135,0.069,0.041249999999999995,0.1368181818181818
APOA1,0.1,0.0695,0.024,0.13283333333333333,0.027857142857142858,0.03,0.033,0.766,0.036181818181818176
CLU,0.428,0.27,0.072,0.3396666666666666,0.18485714285714286,0.06,0.07,0.93625,0.19618181818181818
 DEFB119,0.078,0.12775,0.05,0.19433333333333333,0.038,0.038,0.0385,0.9339999999999999,0.05609090909090909
 AL133499.1,0.01,0.00425,0.01,0.016999999999999998,0.4337142857142857,0.038,0.032,0.02375,0.2509090909090909
 LRWD1,0.015,0.0145,0.021,0.025333333333333333,0.4374285714285714,0.101,0.068,0.01925,0.36972727272727274
ASRGL1,0.031,0.01375,0.044,0.0315,0.5797142857142857,0.182,0.149,0.0255,0.35063636363636363
RGS5,0.134,0.115,0.022,0.33183333333333337,0.014714285714285716,0.009,0.0105,0.39475,0.04754545454545455
RERGL,0.053,0.08700000000000001,0.026,0.3441666666666667,0.002285714285714286,0.003,0.006999999999999999,0.02625,0.005
LBH,0.111,0.11225,0.126,0.36433333333333334,0.002428571428571429,0.015,0.109,0.04675,0.04090909090909091
PAGE2B,0.022,0.02825,0.198,0.017333333333333333,0.3821428571428571,0.656,0.6785,0.015249999999999998,0.10827272727272728
  PRM2,0.078,0.02025,0.045,0.10066666666666667,0.2602857142857143,0.224,0.22150000000000003,0.11699999999999999,0.6957272727272727
MAGEB2,0.015,0.025,0.154,0.013833333333333331,0.19828571428571426,0.366,0.9784999999999999,0.009000000000000001,0.07818181818181819
MYH11,0.072,0.40950000000000003,0.026,0.612,0.005714285714285714,0.005,0.0175,0.04025,0.04418181818181818
KRT17,0.018,0.22175,0.007,0.30683333333333335,0.004,0.003,0.006999999999999999,0.0035,0.0051818181818181815
MYLK,0.175,0.5105,0.013,0.7423333333333333,0.050571428571428566,0.009,0.028499999999999998,0.50775,0.03227272727272727
SPANXN4,0.012,0.0022500000000000003,0.006,0.021,0.023285714285714288,0.012,0.015,0.0175,0.30363636363636365
PPP1R2C,0.017,0.00425,0.041,0.030333333333333334,0.17257142857142857,0.047,0.0465,0.0235,0.52
AC239803.2,0.021,0.0022500000000000003,0.008,0.0335,0.040999999999999995,0.024,0.024,0.0285,0.5750000000000001
INSL3,0.044,0.373,0.028,0.167,0.032999999999999995,0.036,0.032,0.0455,0.02981818181818182
GSTA1,0.048,0.32975,0.023,0.15666666666666665,0.015142857142857142,0.019,0.020999999999999998,0.659,0.013181818181818182
CYP17A1,0.007,0.2615,0.005,0.0255,0.008,0.006,0.0075,0.14500000000000002,0.05881818181818182
H2AFZ,0.263,0.23625000000000002,0.237,0.2353333333333333,0.6098571428571429,0.385,0.297,0.19574999999999998,0.06681818181818182
 TEX101,0.012,0.01225,0.119,0.015666666666666666,0.49628571428571433,0.2,0.0645,0.02275,0.0630909090909091
HSPA5,0.25,0.36,0.42,0.2866666666666667,0.6087142857142858,0.577,0.16,0.40925,0.1318181818181818
IGFBP7,0.729,0.67425,0.113,0.5670000000000001,0.019285714285714285,0.018,0.016,0.10525000000000001,0.023
 ACTA2,0.106,0.19025,0.058,0.4263333333333333,0.009,0.011,0.015,0.02875,0.010818181818181817
  PTGDS,0.179,0.7484999999999999,0.123,0.44766666666666666,0.034428571428571426,0.044,0.028,0.30474999999999997,0.03890909090909091
FAM71A,0.006,0.00075,0.003,0.007166666666666666,0.013571428571428571,0.011,0.0085,0.00825,0.35718181818181816
  TNP1,0.039,0.0072499999999999995,0.022,0.0595,0.11071428571428572,0.092,0.0865,0.0565,0.6213636363636363
C20orf144,0.006,0.00175,0.002,0.0145,0.04357142857142857,0.021,0.0175,0.014,0.48063636363636364
TIMP1,0.406,0.6819999999999999,0.126,0.5195,0.018,0.021,0.021500000000000002,0.71975,0.017272727272727273
BEX1,0.09,0.107,0.03,0.16466666666666666,0.047142857142857146,0.034,0.051000000000000004,0.83375,0.012090909090909091
CRYAB,0.056,0.34975,0.024,0.41733333333333333,0.013714285714285715,0.001,0.0105,0.33575,0.032545454545454544
IGLC2,0.029,0.04,1.0,0.032,0.00028571428571428574,0.0,0.0,0.01725,0.00027272727272727274
IGLC3,0.016,0.02875,1.0,0.02383333333333333,0.0,0.0,0.0,0.01575,0.0
IGHG1,0.014,0.024,1.0,0.020166666666666666,0.0027142857142857142,0.001,0.001,0.01225,0.00036363636363636367
HLA-DRA,0.409,0.042249999999999996,0.245,0.30516666666666664,0.009428571428571429,0.008,0.007,0.027999999999999997,0.012363636363636365
RNASE1,0.641,0.17325000000000002,0.133,0.29450000000000004,0.04042857142857143,0.045,0.04,0.94225,0.038636363636363635
CD74,0.589,0.10875,0.53,0.325,0.008,0.011,0.026500000000000003,0.05725,0.009818181818181818
